code,description
27101245,"motor spirit, with a lead content <= 0,013 g/l, with a research octane number ""ron"" of >= 95 but < 98 (excl. containing biodiesel)"
27101249,"motor spirit, with a lead content <= 0,013 g/l, with a research octane number ""ron"" of >= 98 (excl. containing biodiesel)"
27101250,"motor spirit, with a lead content > 0,013 g/l (excl. containing biodiesel, and aviation spirit)"
27101270,"jet fuel, spirit type (excl. aviation spirit)"
27101948,"gas oils of petroleum or bituminous minerals, with a sulphur content of > 0,1% by weight (excl. containing biodiesel, and for undergoing chemical transformation)"
27101951,fuel oils of petroleum or bituminous minerals for undergoing a specific process as defined in additional note 5 to chapter 27 (excl. containing biodiesel)
27101955,"fuel oils obtained from bituminous materials, for undergoing chemical transformation (excl. for specific processes specified in additional note 5 to chapter 27, and containing biodiesel)"
27102032,"fuel oils of >= 70% of petroleum or bituminous minerals, with a sulphur content of <= 0,5% by weight, containing biodiesel"
27102038,"fuel oils of >= 70% of petroleum or bituminous minerals, with a sulphur content of > 0,5% by weight, containing biodiesel"
27102090,"oils of >= 70% of petroleum or bituminous minerals, containing biodiesel (excl. gas oils and fuel oils)"
271091,"waste oils containing polychlorinated biphenyls [pcbs], polychlorinated terphenyls [pcts] or polybrominated biphenyls [pbbs]"
27109110,waste oils containing polychlorinated biphenyls [pcbs] => 50 mg/kg
27109190,"waste oils containing polychlorinated biphenyls [pcbs], polychlorinated terphenyls [pcts] or polybrominated biphenyls [pbbs] (excl. containing pcbs => 50 mg/kg)"
27109900,"waste oils containing mainly petroleum or bituminous minerals (excl. those containing polychlorinated biphenyls [pcbs], polychlorinated terphenyls [pcts] or polybrominated biphenyls [pbbs])"
27079950,"pyridine, quinoline, acridine, aniline bases and other basic products of the first distillation of high temperature coal tars, n.e.s."
27079980,phenols containing > 50% of phenols (excl. chemically defined)
27079991,"oils and other products of the distillation of high temperature coal tars and similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents, for the manufacture of carbon in heading2803"
27079999,"oils and other products of the distillation of high temperature coal tars and similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents, n.e.s."
27074000,naphthalene containing > 50% of naphthalene (excl. chemically defined)
27075000,"aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250°c by the astm d 86 method (excl. chemically defined compounds)"
27079100,creosote oils (excl. chemically defined)
270799,"oils and other products of the distillation of high temperature coal tars; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents (excl. chemically-defined compounds, benzol ""benzene"", toluol ""toluene"", xylol ""xylenes"", naphthalene, aromatic hydrocarbon mixtures of subheading270750, and creosote oils)"
27079911,"crude light oils from the distillation of high temperature coal tars, of which >= 90% by volume distils at temperatures of up to 200°c (excl. chemically defined)"
27079919,crude light oils from the distillation of high temperature coal tars (excl. those of which >= 90% by volume distils at temperatures of up to 200°c and chemically defined compounds)
27079920,anthracene (excl. chemically defined); sulphuretted toppings from the first distillation of high temperature coal tars
27071000,"benzol ""benzene"" containing > 50% of benzene (excl. chemically defined)"
27072000,"toluol ""toluene"" containing > 50% of toluene (excl. chemically defined)"
27073000,"xylol ""xylenes"" containing > 50% of xylenes (excl. chemically defined)"
27081000,pitch obtained from coal tar or from other mineral tars
27082000,pitch coke obtained from coal tar or from other mineral tars
270900,"petroleum oils and oils obtained from bituminous minerals, crude"
27090010,natural gas condensates
27090090,"petroleum oils and oils obtained from bituminous minerals, crude (excl. natural gas condensates)"
271113,"butanes, liquefied (excl. of a purity of >= 95% of n-butane or isobutane)"
27111310,"butanes for undergoing a specific process as defined in additional note 5 to chapter 27, liquefied (excl. of a purity of >= 95% of n-butane or isobutane)"
27111330,"butanes for undergoing chemical transformation, liquefied (excl. for specific processes specified in additional note 5 to chapter 27 and butanes of a purity of >= 95% of n-butane or isobutane)"
27111391,liquefied butane of a purity of > 90% but < 95% (excl. for undergoing chemical transformation)
27111291,"propane of a purity of < 99%, liquefied, for undergoing a specific process as defined in additional note 5 to chapter 27"
27111293,"propane of a purity of < 99%, liquefied, for undergoing chemical transformation (excl. processes specified in27111291)"
27111294,"liquid propane of a purity of > 90%, but < 99% (excl. for undergoing chemical transformation)"
27111297,liquefied propane of a purity of <= 90% (excl. for undergoing chemical transformation)
27111397,liquefied butane of a purity of <= 90% (excl. for undergoing chemical transformation)
27111400,"ethylene, propylene, butylene and butadiene, liquefied (excl. ethylene of a purity of >= 95% and propylene, butylene and butadiene of a purity of >= 90%)"
27111900,"gaseous hydrocarbons, liquefied, n.e.s. (excl. natural gas, propane, butane, ethylene, propylene, butylene and butadiene)"
27112100,natural gas in gaseous state
27112900,"hydrocarbons in gaseous state, n.e.s. (excl. natural gas)"
27111100,"natural gas, liquefied"
271112,"propane, liquefied"
27111211,"propane of a purity of >= 99%, for use as a power or heating fuel, liquefied"
27111219,"propane of a purity of >= 99%, liquefied (excl. for use as a power or heating fuel)"
271210,petroleum jelly
27121010,crude petroleum jelly
27121090,petroleum jelly (excl. crude)
271220,"paraffin wax containing < 0,75% by weight of oil"
27122010,"synthetic paraffin wax containing < 0,75% by weight of oil and of a molecular weight of >= 460 but <= 1.560"
27122090,"paraffin wax containing < 0,75% by weight of oil (excl. synthetic paraffin wax of a molecular weight of >= 460 but <= 1.560)"
271290,"paraffin wax, microcrystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products obtained by synthesis or by other processes, whether or not coloured (excl. petroleum jelly and paraffin wax containing < 0,75% by weight of oil)"
27129011,"crude ozokerite, lignite wax or peat wax ""natural products"""
27129019,"ozokerite, lignite wax or peat wax ""natural products"", whether or not coloured (excl. crude)"
27129031,"crude paraffin wax, microcrystalline petroleum wax, slack wax, other mineral waxes, and similar products obtained by synthesis or by other processes, for undergoing a specific process as defined in additional note 5 to chapter 27 (excl. petroleum jelly, paraffin wax containing < 0,75% by weight of oil, ozokerite, lignite wax and peat wax)"
27129033,"crude paraffin wax, microcrystalline petroleum wax, slack wax, other mineral waxes, and similar products obtained by synthesis or by other processes, for undergoing chemical transformation (excl. for specific processes specified in additional note 5 to chapter 27, petroleum jelly, paraffin wax containing < 0,75% by weight of oil, ozokerite, lignite wax and peat wax)"
27129039,"crude paraffin wax, microcrystalline petroleum wax, slack wax, other mineral waxes, and similar products obtained by synthesis or by other processes (excl. for undergoing chemical transformation, petroleum jelly, paraffin wax containing < 0,75% by weight of oil, ozokerite, lignite wax and peat wax)"
27129091,blend of 1-alkenes containing by weight >= 80% of 1-alkenes of a chain-length of >= 24 but <= 28 carbon atoms
27129099,"paraffin wax, microcrystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products obtained by synthesis or by other processes, whether or not coloured (excl. petroleum jelly, paraffin wax containing < 0,75% by weight of oil and a blend of 1-alkenes containing by weight >= 80% of 1-alkenes of a chain-length of >= 24 but <= 28 carbon atoms)"
27011100,"anthracite, whether or not pulverised, non-agglomerated"
270112,"bituminous coal, whether or not pulverised, non-agglomerated"
27011210,"coking coal, whether or not pulverised, non-agglomerated"
27011290,"bituminous coal, whether or not pulverised, non-agglomerated (excl. coking)"
27011900,"coal, whether or not pulverised, non-agglomerated (excl. anthracite and bituminous coal)"
27012000,"briquettes, ovoids and similar solid fuels manufactured from coal"
27021000,"lignite, whether or not pulverised, non-agglomerated (excl. jet)"
27022000,agglomerated lignite (excl. jet)
27030000,"peat, incl. peat litter, whether or not agglomerated"
270400,"coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon"
27040010,"coke and semi-coke of coal, whether or not agglomerated"
27040030,"coke and semi-coke of lignite, whether or not agglomerated"
27040090,"coke and semi-coke of peat, whether or not agglomerated; retort carbon"
27050000,"coal gas, water gas, producer gas, lean gas and similar gases (excl. petroleum gases and other gaseous hydrocarbons)"
27060000,"tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, incl. reconstituted tars"
27139090,"residues of petroleum oil or of oil obtained from bituminous minerals (excl. for the manufacture of carbon of heading2803, petroleum coke and petroleum bitumen)"
27131100,"petroleum coke, non-calcined"
27131200,"petroleum coke, calcined"
27132000,petroleum bitumen
271390,residues of petroleum oil or of oil obtained from bituminous minerals (excl. petroleum coke and petroleum bitumen)
27139010,residues of petroleum oil or of oil obtained from bituminous minerals for the manufacture of carbon of heading2803
27141000,bituminous or oil-shale and tar sands
27149000,"bitumen and asphalt, natural; asphaltites and asphaltic rocks"
27150000,"bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch"
27160000,electrical energy
284590,"non-radioactive isotopes; inorganic or organic compounds of such isotopes, whether or not chemically defined (excl. heavy water ""deuterium oxide"", boron enriched in boron-10 and lithium enriched in lithium-6 and their compounds, and helium-3)"
284442,"actinium-225, actinium-227, californium-253, curium-240, curium-241, curium-242, curium-243, curium-244, einsteinium-253, einsteinium-254, gadolinium-148, polonium-208, polonium-209, polonium-210, radium-223, uranium-230 or uranium-232, and their compounds; alloys, dispersions incl. cermets, ceramic products and mixtures containing these elements or compounds"
284443,"radioactive elements and isotopes and compounds; alloys, dispersions incl. cermets, ceramic products and mixtures containing these elements, isotopes or compounds (excl. natural uranium, uranium enriched and depleted in u 235; plutonium, thorium, tritium, actinium-225, actinium-227, californium-253, curium-240, curium-241, curium-242, curium-243, curium-244, einsteinium-253, einsteinium-254, gadolinium-148, polonium-208, polonium-209, polonium-210, radium-223, uranium-230, uranium-232 and their compounds, and alloys, dispersions, ceramic products and mixtures containing these elements or compounds)"
284441,"tritium and its compounds; alloys, dispersions incl. cermets, ceramic products and mixtures containing tritium or its compounds"
284430,"uranium depleted in u 235 and its compounds; thorium and its compounds; alloys, dispersions, incl. cermets, ceramic products and mixtures containing uranium depleted in u 235, thorium or compounds of these products"
284410,"natural uranium and its compounds; alloys, dispersions, incl. cermets, ceramic products and mixtures containing natural uranium or natural uranium compound [euratom]"
284420,"uranium enriched in u 235 and its compounds: plutonium and its compounds; alloys, dispersions, incl. cermets, ceramic products and mixtures containing uranium enriched in u 235, plutonium or compounds of these products [euratom]"
284690,"compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures of these metals (excl. cerium)"
285000,"hydrides, nitrides, azides, silicides and borides, whether or not chemically defined (excl. compounds which are also carbides of heading2849, and inorganic or organic compounds of mercury whether or not chemically defined)"
285390,"phosphides, whether or not chemically defined (excl. ferrophosphorus); inorganic compounds, incl. distilled or conductivity water and water of similar purity, n.e.s.; liquid air, whether or not rare gases have been removed; compressed air; amalgams (excl. amalgams of precious metals)"
284990,"carbides, whether or not chemically defined (excl. of calcium or silicon, and inorganic or organic compounds of mercury whether or not chemically defined)"
280130,fluorine; bromine
280450,boron; tellurium
280429,rare gases (excl. argon)
280470,phosphorus
280530,"rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed"
280540,mercury
280519,alkali or alkaline-earth metals (excl. sodium and calcium)
281129,"inorganic oxygen compounds of non-metals (excl. diphosphorus pentaoxide, oxides of boron, carbon dioxide and silicon dioxide)"
281119,"inorganic acids (excl. hydrogen chloride ""hydrochloric acid"", chlorosulphuric acid, sulphuric acid, oleum, nitric acid, sulphonitric acids, phosphoric acid, polyphosphoric acids, boric acids, hydrogen fluoride ""hydrofluoric acid"" and hydrogen cyanide ""hydrocyanic acid"")"
283090,"sulphides (excl. sodium); polysulphides, whether or not chemically defined (excl. inorganic or organic compounds of mercury whether or not chemically defined)"
283529,"phosphates (excl. phosphates of monosodium, disodium, potassium, calcium and mercury)"
281219,"chlorides and chloride oxides (excl. carbonyl dichloride ""phosgene"", phosphorus oxy-, tri- and pentachloride, sulphur monochloride, sulphur dichloride and thionyl chloride)"
283329,"sulphates (excl. of sodium, magnesium, aluminium, nickel, copper, barium and mercury)"
283429,nitrates (excl. of potassium and of mercury)
284310,colloidal precious metals
284390,"inorganic or organic compounds of precious metals, whether or not chemically defined (excl. silver and gold); amalgams of precious metals"
283699,"carbonates and peroxocarbonates ""percarbonates""; commercial ammonium carbonate containing ammonium carbamate (excl. disodium carbonate, sodium hydrogencarbonate ""sodium bicarbonate"", potassium carbonates, calcium carbonate, barium carbonate, lithium carbonates, strontium carbonate and inorganic or organic compounds of mercury)"
284190,"salts of oxometallic or peroxometallic acids (excl. chromates, dichromates, peroxochromates, manganites, manganates, permanganates, molybdates and tungstates ""wolframamtes"")"
281390,sulphides of non-metals (excl. carbon disulphide); commercial phosphorus trisulphide
281000,oxides of boron; boric acids
284020,"borates (excl. disodium tetraborate ""refined borax"")"
284019,"disodium tetraborate ""refined borax"" (excl. anhydrous)"
284290,"salts of inorganic acids or peroxoacids (excl. of oxometallic or peroxometallic acids, double or complex silicates [incl. aluminosilicates whether or not chemically defined], azides, and inorganic or organic compounds of mercury)"
282090,manganese oxides (excl. manganese dioxide)
281990,chromium oxides and hydroxides (excl. chromium trioxide)
281810,"corundum, artificial, whether or not chemically defined"
282990,perchlorates; bromates and perbromates; iodates and periodates (excl. inorganic or organic compounds of mercury)
282749,chloride oxides and chloride hydroxides (excl. copper and mercury)
282739,"chlorides (excl. ammonium, calcium, magnesium, aluminium, nickel and mercury chloride)"
282590,"bases, inorganic, and metal oxides, hydroxides and peroxides, n.e.s."
282690,"fluorosilicates, fluoroaluminates and other complex fluorine salts (excl. sodium hexafluoroaluminate ""synthetic cryolite"" and inorganic or organic compounds of mercury)"
282619,fluorides (excl. of aluminium and mercury)
293430,"heterocyclic compounds containing in the structure a phenothiazine ring-system, whether or not hydrogenated, but not further fused"
293420,"heterocyclic compounds containing in the structure a benzothiazole ring-system, whether or not hydrogenated, but not further fused (excl. inorganic or organic compounds of mercury)"
293499,"nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. with oxygen only or with nitrogen hetero-atom[s] only, compounds containing in the structure an unfused thiazole ring or a benzothiazole or phenothiazine ring-system, not further fused and aminorex ""inn"", brotizolam ""inn"", clotiazepam ""inn"", cloxazolam ""inn"", dextromoramide ""inn"", haloxazolam ""inn"", ketazolam ""inn"", mesocarb ""inn"", oxazolam ""inn"", pemoline ""inn"", phendimetrazine ""inn"", phenmetrazine ""inn"", sufentanil ""inn"", and salts thereof, other fentanyls and their derivatives, and inorganic or organic compounds of mercury whether or not chemically defined, and products of300210)"
293399,"heterocyclic compounds with nitrogen hetero-atom[s] only (excl. those containing an unfused pyrazole, imidazole, pyridine or triazine ring, whether or not hydrogenated, a quinoline or isoquinoline ring-system, not further fused, whether or not hydrogenated, a pyrimidine ring, whether or not hydrogenated, or piperazine ring in the structure, and lactams, alprazolam ""inn"", camazepam ""inn"", chlordiazepoxide ""inn"", clonazepam ""inn"", clorazepate, delorazepam ""inn"", diazepam ""inn"", estazolam ""inn"", ethyl loflazepate ""inn"", fludiazepam ""inn"", flunitrazepam ""inn"", flurazepam ""inn"", halazepam ""inn"", lorazepam ""inn"", lormetazepam ""inn"", mazindol ""inn"", medazepam ""inn"", midazolam ""inn"", nimetazepam ""inn"", nitrazepam ""inn"", nordazepam ""inn"", oxazepam ""inn"", pinazepam ""inn"", prazepam ""inn"", pyrovalerone ""inn"", temazepam ""inn"", tetrazepam ""inn"" and triazolam ""inn"", salts thereof and azinphos-methyl ""iso"")"
293329,"heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused imidazole ring, whether or not hydrogenated, in the structure (excl. hydantoin and its derivatives, and products of subheading300210)"
293349,"heterocyclic compounds with nitrogen hetero-atom[s] only, containing in the structure a quinoline or isoquinoline ring-system, whether or not hydrogenated, but not further fused (excl. levorphanol ""inn"" and its salts, and inorganic or organic compounds of mercury)"
293311,"phenazone ""antipyrin"" and its derivatives"
293339,"heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, whether or not hydrogenated, in the structure, n.e.s."
293319,"heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyrazole ring, whether or not hydrogenated, in the structure (excl. phenazone ""antipyrin"" and its derivatives)"
293369,"heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused triazine ring, whether or not hydrogenated, in the structure (excl. melamine)"
293359,"heterocyclic compounds with nitrogen hetero-atom[s] only, containing a pyrimidine ring, whether or not hydrogenated, or piperazine ring in the structure (excl. malonylurea ""barbituric acid"" and its derivatives, allobarbital ""inn"", amobarbital ""inn"", barbital ""inn"", butalbital ""inn"", butobarbital ""inn"", cyclobarbital ""inn"", methylphenobarbital ""inn"", pentobarbital ""inn"", phenobarbital ""inn"", secbutabarbital ""inn"", secobarbital ""inn"", vinylbital ""inn"", loprazolam ""inn"", mecloqualone ""inn"", methaqualone ""inn"" and zipeprol ""inn"", and salts thereof)"
293391,"alprazolam ""inn"", camazepam ""inn"", chlordiazepoxide ""inn"", clonazepam ""inn"", clorazepate, delorazepam ""inn"", diazepam ""inn"", estazolam ""inn"", ethyl loflazepate ""inn"", fludiazepam ""inn"", flunitrazepam ""inn"", flurazepam ""inn"", halazepam ""inn"", lorazepam ""inn"", lormetazepam ""inn"", mazindol ""inn"", medazepam ""inn"", midazolam ""inn"", nimetazepam ""inn"", nitrazepam ""inn"", nordazepam ""inn"", oxazepam ""inn"", pinazepam ""inn"", prazepam ""inn"", pyrovalerone ""inn"", temazepam ""inn"", tetrazepam ""inn"" and triazolam ""inn"", and salts thereof"
293353,"allobarbital ""inn"", amobarbital ""inn"", barbital ""inn"", butalbital ""inn"", butobarbital ""inn"", cyclobarbital ""inn"", methylphenobarbital ""inn"", pentobarbital ""inn"", phenobarbital ""inn"", secbutabarbital ""inn"", secobarbital ""inn"" and vinylbital ""inn"", and salts thereof"
293590,sulphonamides (excl. perfluorooctane sulphonamides)
293890,"glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives (excl. rutoside ""rutin"" and its derivatives)"
293979,"vegetal alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives (excl. alkaloids of opium, alkaloids of cinchons, theophylline, aminophylline ""theophylline-ethylenediamine"" alkaloids of rye ergot and their salts and derivatives, cocaine, ecgonine, levometamfetamine, metamfetamine ""inn"", metamfetamine racemate, and salts, esters and other derivatives thereof, caffeine and ephedrines, and their salts, cocaine and ecgonine and salts, esters and other derivatives thereof)"
294120,streptomycins and their derivatives; salts thereof
293149,"separate chemically defined non-halogenated organo-phosphorous derivatives, n.e.s."
293159,"separate chemically defined halogenated organo-phosphorous derivatives, n.e.s."
293220,lactones
291590,"saturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives (excl. formic acid and acetic acid, mono-, di- or trichloroacetic acids, propionic acid, butanoic and pentanoic acids, palmitic and stearic acids, their salts and esters, and acetic anhydride)"
291570,"palmitic acid, stearic acid, their salts and esters"
291560,"butanoic acids, pentanoic acids, their salts and esters"
291719,"acyclic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their halogenated, sulphonated, nitrated or nitrosated derivatives (excl. oxalic acid, its salts and esters, adipic acid, its salts and esters, azelaic acid, sebacic acid, their salts and esters, maleic anhydride, and inorganic or organic compounds of mercury)"
291713,"azelaic acid, sebacic acid, their salts and esters"
291739,"aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their halogenated, sulphonated, nitrated or nitrosated derivatives (excl. esters of orthophthalic acid, phthalic anhydride, terephthalic acid and its salts and dimethyl terephthalate)"
291639,"aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their halogenated, sulphonated, nitrated or nitrosated derivatives (excl. benzoic acid, its salts and esters, benzoyl peroxide, benzoyl chloride, phenylacetic acid and its salts, and inorganic or organic compounds of mercury whether or not chemically defined)"
291619,"unsaturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and halogenated, sulphonated, nitrated or nitrosated derivatives (excl. acrylic acid and its salts and esters, methacrylic acid and its salts and esters, and oleic, linoleic or linolenic acids, their salts and esters, and binapacryl [iso])"
291899,"carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives (excl. only with alcohol, phenol, aldehyde or ketone function, and 2,4,5-t [iso] [2,4,5-trichlorophenoxyacetic acid] and its salts and esters)"
291819,"carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives (excl. lactic acid, tartaric acid, citric acid, gluconic acid and their salts and esters, and chlorobenzilate [iso])"
292090,"esters of inorganic acids of non-metals and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives (excl. esters of hydrogen halides, phosphoric esters, phosphite esters, and thiophosphoric esters ""phosphorothioates"", their salts and their halogenated, sulphonated, nitrated or nitrosated derivatives, endosulfan ""iso"" and inorganic or organic compounds of mercury)"
292130,"cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives; salts thereof"
292119,"acyclic monoamines and their derivatives; salts thereof (excl. methylamine, dimethylamine, trimethylamine, and their salts)"
292159,"aromatic polyamines and their derivatives; salts thereof (excl. o-phenylenediamine, m-phenylenediamine, p-phenylenediamine or diaminotoluenes and their derivatives, and salts thereof)"
292151,"o-phenylenediamine, m-phenylenediamine, p-phenylenediamine or diaminotoluenes and their derivatives; salts thereof"
292249,"amino-acids and their esters; salts thereof (excl. those with > one kind of oxygen function, lysine and its esters, and salts thereof, and glutamic acid, anthranilic acid, tilidine ""inn"", and salts thereof)"
290715,naphthols and their salts
290719,"monophenols (excl. phenol ""hydroxybenzene"" and its salts, cresols and their salts, octylphenol, nonylphenol and their isomers and salts thereof and naphthols and their salts)"
290613,sterols and inositols
290514,"butanols (excl. butan-1-ol ""n-butyl alcohol"")"
290516,"octanol ""octyl alcohol"" and isomers thereof"
290529,unsaturated monohydric acyclic alcohols (excl. acyclic terpene alcohols)
290539,"diols (excl. ethylene glycol ""ethanediol"" and propylene glycol ""propane-1,2-diol"")"
290544,"d-glucitol ""sorbitol"""
290559,"halogenated, sulphonated, nitrated or nitrosated derivatives or acyclic alcohols (excl. ethchlorvynol ""inn"")"
290389,"halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons (excl. 1,2,3,4,5,6-hexachlorocyclohexane ""hch [iso]"", lindane [iso, inn], aldrin [iso], chlordane [iso], heptachlor [iso] and mirex [iso])"
290349,saturated fluorinated derivatives of acyclic hydrocarbons (excl. products of290341to290348)
290379,"halogenated derivatives of acyclic hydrocarbons containing two or more different halogens (excl. perhalogenated, and chlorodifluoromethane, dichlorotrifluoroethanes, dichlorofluoroethanes, chlorodifluoroethanes, dichloropentafluoropropanes, bromochlorodifluoromethane, bromotrifluoromethane and dibromotetrafluoroethanes)"
290399,"halogenated derivatives of aromatic hydrocarbons (excl. chlorobenzene, o-dichlorobenzene, p-dichlorobenzene, hexachlorobenzene [iso], ddt [iso] ""clofenotane [inn], 1,1,1-trichloro-2,2-bis[p-chlorophenyl]ethane"", pentachlorobenzene ""iso"" and hexabromobiphenyls)"
290377,"halogenated derivatives of acyclic hydrocarbons containing two or more different halogens, perhalogenated only with fluorine and chlorine (excl. chlorodifluoromethane, dichlorotrifluoroethanes, dichlorofluoroethanes, chlorodifluoroethanes, dichloropentafluoropropanes, bromochlorodifluoromethane, bromotrifluoromethane and dibromotetrafluoroethanes)"
290369,"brominated or iodinated derivatives of acyclic hydrocarbons (excl. methyl bromide ""bromomethane"" and ethylene dibromide ""iso"" ""1,2-dibromoethane"")"
290376,"bromochlorodifluoromethane, bromotrifluoromethane and dibromotetrafluoroethanes"
292429,"cyclic amides, incl. cyclic carbamates, and their derivatives; salts thereof (excl. ureines and their derivatives, salts thereof, 2-acetamidobenzoic acid ""n-acetylanthranilic acid"" and its salts, ethinamate ""inn"" and alachlor ""iso"")"
292519,"imides and their derivatives; salts thereof (excl. saccharin and its salts, glutethimide [inn] and inorganic or organic compounds of mercury)"
292990,"compounds with nitrogen function (excl. amine-function compounds; oxygen-function amino-compounds; quaternary ammonium salts and hydroxides; lecithin and other phosphoaminolipids; carboxyamide-function compounds; amide-function compounds of carbonic acid; carboxyimide-function, imine-function or nitrile-function compounds; diazo-, azo- or azoxy-compounds; organic derivatives of hydrazine or of hydroxylamine and isocyanates)"
292690,"nitrile-function compounds (excl. acrylonitrile, 1-cyanoguanidine ""dicyandiamide"", fenproporex ""inn"" and its salts, methadone ""inn""-intermediate ""4-cyano-2-dimethylamino-4,4-diphenylbutane"" and alpha-phenylacetoacetonitrile)"
293090,"organo-sulphur compounds (excl. thiocarbamates and dithiocarbamates, thiuram mono-, di- or tetrasulphides, methionine, 2-(n,n-diethylamino)ethanethiol, bis(2-hydroxyethyl)sulfide (thiodiglycol (inn)), aldicarb [iso], captafol [iso], methamidophos [iso] and 2-(n,n-dimethylamino) ethanethiol)"
293040,methionine
292800,organic derivatives of hydrazine or of hydroxylamine
291419,"acyclic ketones, without other oxygen function (excl. acetone, butanone ""methyl ethyl ketone"" and 4-methylpentan-2-one ""methyl isobutyl ketone"")"
291440,ketone-alcohols and ketone-aldehydes
291469,"quinones (excl. anthraquinone and coenzyme q10 ""ubidecarenone ""inn"""")"
290919,"acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives (excl. diethyl ether)"
290949,"ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives (excl. 2,2'-oxydiethanol ""diethylene glycol, digol"" and monoalkylethers of ethylene glycol or of diethylene glycol)"
290930,"aromatic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives"
290960,"alcohol peroxides, ether peroxides, acetal and hemiacetal peroxides, ketone peroxides and their halogenated, sulphonated, nitrated or nitrosated derivatives"
30033100,"medicaments containing insulin, not in measured doses or put up for retail sale"
30033900,"medicaments containing hormones or steroids used as hormones, not containing antibiotics, not in measured doses or put up for retail sale (excl. those containing insulin)"
30034100,"medicaments containing ephedrine or its salts, not containing hormones, steroids used as hormones or antibiotics, not in measured doses or put up for retail sale"
30034200,"medicaments containing pseudoephedrine ""inn"" or its salts, not containing hormones, steroids used as hormones or antibiotics, not in measured doses or put up for retail sale"
30034300,"medicaments containing norephedrine or its salts, not containing hormones, steroids used as hormones or antibiotics, not in measured doses or put up for retail sale"
30034900,"medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids used as hormones or antibiotics, not in measured doses or put up for retail sale (excl. containing ephedrine, pseudoephedrine ""inn"", norephedrine or their salts)"
30036000,"medicaments containing any of the following antimalarial active principles: artemisinin ""inn"" for oral ingestion combined with other pharmaceutical active ingredients, or amodiaquine ""inn""; artelinic acid or its salts; artenimol ""inn""; artemotil ""inn""; artemether ""inn""; artesunate ""inn""; chloroquine ""inn""; dihydroartemisinin ""inn""; lumefantrine ""inn""; mefloquine ""inn""; piperaquine ""inn""; pyrimethamine ""inn"" or sulfadoxine ""inn"", not containing hormones, steroids used as hormones or antibiotics, not in measured doses or put up for retail sale"
30039000,"medicaments consisting of two or more constituents mixed together for therapeutic or prophylactic uses, not in measured doses or put up for retail sale (excl. antibiotics containing hormones or steroids used as hormones, but not containing antibiotics, alkaloids or derivatives thereof, hormones, antibiotics, antimalarial active principles or goods of heading3002,3005or3006)"
30031000,"medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, or streptomycins or derivatives thereof, not in measured doses or put up for retail sale"
30032000,"medicaments containing antibiotics, not in measured doses or put up for retail sale (excl. medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, or streptomycins or derivatives thereof)"
30041000,"medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, or streptomycins or derivatives thereof, put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale"
30042000,"medicaments containing antibiotics, put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. medicaments containing penicillins or derivatives thereof with a penicillanic structure, or streptomycines or derivatives thereof)"
